	events
0	['dummyStart', 'correct_port_persev']
1	['dummyStart', 'correct_port_persev']
2	['dummyStart', 'correct_port_persev']
3	['dummyStart', 'correct_port_persev']
4	['dummyStart', 'correct_port_persev']
5	['dummyStart', 'port_1_OD', 'correct_port_persev']
6	['dummyStart', 'wrong_port_OD']
7	['dummyStart', 'correct_port_persev']
8	['dummyStart', 'correct_port_persev']
9	['dummyStart', 'correct_port_persev']
10	['dummyStart', 'correct_port_persev']
11	['dummyStart', 'correct_port_persev']
12	['dummyStart', 'correct_port_persev']
13	['dummyStart', 'wrong_port_OD']
14	['dummyStart', 'wrong_port_OD']
15	['dummyStart', 'wrong_port_OD']
16	['dummyStart', 'correct_port_persev']
17	['dummyStart', 'correct_port_persev']
18	['dummyStart', 'wrong_port_OD']
19	['dummyStart', 'wrong_port_OD']
20	['dummyStart', 'correct_port_persev']
21	['dummyStart', 'wrong_port_OD']
22	['dummyStart', 'correct_port_persev']
23	['dummyStart', 'wrong_port_OD']
24	['dummyStart', 'correct_port_persev']
25	['dummyStart', 'correct_port_persev']
26	['dummyStart', 'port_0_OD', 'port_1_OD', 'correct_port_persev']
27	['dummyStart', 'wrong_port_OD']
28	['dummyStart', 'correct_port_persev']
29	['dummyStart', 'correct_port_persev']
30	['dummyStart', 'correct_port_persev']
31	['dummyStart', 'correct_port_persev']
32	['dummyStart', 'port_0_OD', 'correct_port_persev']
33	['dummyStart', 'correct_port_persev']
34	['dummyStart', 'correct_port_persev']
35	['dummyStart', 'wrong_port_OD']
36	['dummyStart', 'correct_port_persev']
37	['dummyStart', 'correct_port_persev']
38	['dummyStart', 'correct_port_persev']
39	['dummyStart', 'correct_port_persev']
40	['dummyStart', 'wrong_port_OD']
41	['dummyStart', 'correct_port_persev']
42	['dummyStart', 'correct_port_persev']
43	['dummyStart', 'correct_port_persev']
44	['dummyStart', 'correct_port_persev']
45	['dummyStart', 'correct_port_persev']
46	['dummyStart', 'correct_port_persev']
47	['dummyStart', 'wrong_port_OD']
48	['dummyStart', 'correct_port_persev']
49	['dummyStart', 'correct_port_persev']
50	['dummyStart', 'correct_port_persev']
51	['dummyStart', 'correct_port_persev']
52	['dummyStart', 'correct_port_persev']
53	['dummyStart', 'correct_port_persev']
54	['dummyStart', 'correct_port_persev']
55	['dummyStart', 'correct_port_persev']
56	['dummyStart', 'wrong_port_OD']
57	['dummyStart', 'correct_port_persev']
58	['dummyStart', 'correct_port_persev']
59	['dummyStart', 'correct_port_persev']
60	['dummyStart', 'correct_port_persev']
61	['dummyStart', 'correct_port_persev']
62	['dummyStart', 'wrong_port_OD']
63	['dummyStart', 'correct_port_persev']
